Beta,x1_exact,x1_backslash,rel_resid_x1,cond_num
10^0,1.0,1.0,0.0,9.474594625382961
10^1,1.0,1.0,0.0,160.42074081126813
10^2,1.0,1.0,0.0,14268.916384537495
10^3,1.0,1.0,0.0,1.4154221703574976e6
10^4,1.0,1.0,0.0,1.414333835743985e8
10^5,1.0,1.0,0.0,1.4142255838405098e10
10^6,1.0,1.0,0.0,1.4142147644611445e12
10^7,1.0,1.0,0.0,1.4142136825813125e14
10^8,1.0,1.0,0.0,1.4142135743939106e16
10^9,1.0,1.0,0.0,1.4142135635751764e18
10^10,1.0,1.0,0.0,1.4142135624933019e20
10^11,1.0,1.0,0.0,1.414213562385116e22
10^12,1.0,1.0,0.0,1.414213562374298e24
10^13,1.0,1.0,0.0,1.4142135623732162e26
10^14,1.0,1.0,0.0,1.4142135623731079e28
10^15,1.0,1.0,0.0,1.414213562373097e30
10^16,1.0,1.0,0.0,1.4142135623730946e32
10^17,1.0,1.0,0.0,1.4142135623730943e34
10^18,1.0,1.0,0.0,1.4142135623730956e36
10^19,1.0,1.0,0.0,1.4142135623730957e38
10^20,1.0,1.0,0.0,1.4142135623730953e40
10^21,1.0,1.0,0.0,1.4142135623730942e42
10^22,1.0,1.0,0.0,1.4142135623730946e44
10^23,1.0,1.0,0.0,1.4142135623730953e46
10^24,1.0,1.0,0.0,1.4142135623730957e48
10^25,1.0,1.0,0.0,1.4142135623730948e50
10^26,1.0,1.0,0.0,1.4142135623730956e52
10^27,1.0,1.0,0.0,1.4142135623730947e54
10^28,1.0,1.0,0.0,1.4142135623730942e56
10^29,1.0,1.0,0.0,1.4142135623730958e58
10^30,1.0,1.0,0.0,1.414213562373096e60
10^31,1.0,1.0,0.0,1.414213562373095e62
10^32,1.0,1.0,0.0,1.414213562373096e64
10^33,1.0,1.0,0.0,1.4142135623730943e66
10^34,1.0,1.0,0.0,1.414213562373096e68
10^35,1.0,1.0,0.0,1.4142135623730943e70
10^36,1.0,1.0,0.0,1.4142135623730949e72
10^37,1.0,1.0,0.0,1.4142135623730959e74
10^38,1.0,1.0,0.0,1.4142135623730944e76
10^39,1.0,1.0,0.0,1.414213562373096e78
10^40,1.0,1.0,0.0,1.4142135623730956e80
10^41,1.0,1.0,0.0,1.4142135623730955e82
10^42,1.0,1.0,0.0,1.414213562373096e84
10^43,1.0,1.0,0.0,1.4142135623730959e86
10^44,1.0,1.0,0.0,1.4142135623730948e88
10^45,1.0,1.0,0.0,1.414213562373096e90
10^46,1.0,1.0,0.0,1.4142135623730948e92
10^47,1.0,1.0,0.0,1.4142135623730943e94
10^48,1.0,1.0,0.0,1.414213562373095e96
10^49,1.0,1.0,0.0,1.414213562373096e98
10^50,1.0,1.0,0.0,1.414213562373096e100
